,Movie,Year,Duration,Rating,Metascore,Votes,Gross Total (Millions)
311,Mystic River,2003,138,7.9,84,419592,90.14
312,Searching,2018,102,7.6,71,140972,26.02
313,Captain Phillips,2013,134,7.8,82,421436,107.1
314,The King's Speech,2010,118,8,88,639841,138.8
315,First Blood,1982,93,7.7,61,226621,47.21
316,"Monsters, Inc.",2001,92,8.1,79,815953,289.92
317,Kill Bill: Vol. 2,2004,137,8,83,684223,66.21
318,Midnight in Paris,2011,94,7.7,81,388243,56.82
319,Blue Is the Warmest Colour,2013,180,7.7,89,138820,2.2
320,Office Space,1999,89,7.7,68,241654,10.82
321,It's a Wonderful Life,1946,130,8.6,89,406044,
322,Hell or High Water,2016,102,7.6,88,204292,26.86
323,Amélie,2001,122,8.3,69,704087,33.23
324,True Grit,2010,110,7.6,80,311943,171.24
325,The Graduate,1967,106,8,83,253779,104.95
326,Gone with the Wind,1939,238,8.1,97,290221,198.68
327,Black Hawk Down,2001,144,7.7,74,364351,108.64
328,All the President's Men,1976,138,7.9,84,103133,70.6
329,Children of Men,2006,109,7.9,84,465250,35.55
330,Lion,2016,118,8,69,214107,51.74
331,Indiana Jones and the Last Crusade,1989,127,8.2,65,692639,197.17
332,Big Fish,2003,125,8,58,415336,66.26
333,The Girl with the Dragon Tattoo,2009,152,7.8,76,209028,10.1
334,Primal Fear,1996,129,7.7,47,189838,56.12
335,The Royal Tenenbaums,2001,110,7.6,76,266952,52.36
336,Before Sunrise,1995,101,8.1,77,272455,5.54
337,The Philadelphia Story,1940,112,7.9,96,63572,
338,Misery,1990,107,7.8,75,184827,61.28
339,Taken,2008,90,7.8,51,564923,145
340,Scent of a Woman,1992,156,8,59,264101,63.9
341,The Last Samurai,2003,154,7.7,55,400202,111.11
342,Rear Window,1954,112,8.4,100,444335,36.76
343,Lethal Weapon,1987,109,7.6,68,236961,65.21
344,Princess Mononoke,1997,134,8.4,76,343442,2.38
345,Seven Samurai,1954,207,8.6,98,315937,0.27
346,Downfall,2004,156,8.2,82,331445,5.51
347,What We Do in the Shadows,2014,86,7.7,76,157610,3.33
348,Bridge of Spies,2015,142,7.6,81,287777,72.31
349,Sleepers,1996,147,7.6,49,186808,49.1
350,King Kong,1933,100,7.9,90,79055,10
351,The Game,1997,129,7.8,61,345277,48.32
352,A Few Good Men,1992,138,7.7,62,235496,141.34
353,The Machinist,2004,101,7.7,61,358610,1.08
354,Moonrise Kingdom,2012,94,7.8,84,318943,45.51
355,Back to the Future Part II,1989,108,7.8,57,482117,118.5
356,Little Miss Sunshine,2006,101,7.8,80,439987,59.89
357,Big Hero 6,2014,102,7.8,74,411185,222.53
358,The Bourne Ultimatum,2007,115,8,85,604820,227.47
359,The Others,2001,104,7.6,74,337769,96.52
360,Saw,2004,103,7.6,46,379170,56
361,Blue Velvet,1986,120,7.7,76,181410,8.55
362,JFK,1991,189,8,72,142177,70.41
363,Die Hard with a Vengeance,1995,128,7.6,58,364519,100.01
364,The Theory of Everything,2014,123,7.7,72,404403,35.89
365,Rush,2013,123,8.1,74,433014,26.95
366,The Fighter,2010,116,7.8,79,340747,93.62
367,Willy Wonka & the Chocolate Factory,1971,100,7.8,67,178811,4
368,Sense and Sensibility,1995,136,7.6,84,102660,43.18
369,Straight Outta Compton,2015,147,7.8,72,179316,161.2
